Language,Gender,Speaker,Sentence,Vowel_type,Vowel,seg_Start,seg_End,V_duration,F0_Mean,F0_1,F0_2,F0_3,H1_Mean,H1_1,H1_2,H1_3,H2_Mean,H2_1,H2_2,H2_3,H1H2_Mean,H1H2_1,H1H2_2,H1H2_3,H2H4_Mean,H2H4_1,H2H4_2,H2H4_3,H1A1_Mean,H1A1_1,H1A1_2,H1A1_3,H1A2_Mean,H1A2_1,H1A2_2,H1A2_3,H1A3_Mean,H1A3_1,H1A3_2,H1A3_3,CPP_Mean,CPP_1,CPP_2,CPP_3,CQ_H_Mean,CQ_H_1,CQ_H_2,CQ_H_3,peak_Vel_Mean,peak_Vel_1,peak_Vel_2,peak_Vel_3
English,Male,AM_01,P5_E,High,KIT,1297.645,1477.56,179.915,86.105,88.704,81.812,87.77,12.781,15.68,16.235,6.514,10.685,13.843,12.175,6.079,2.096,1.837,04.06,0.436,11.642,12.04,12.39,10.507,19.691,19.305,23.648,16.186,24.116,24.728,27.605,20.143,24.705,23.183,25.829,25.165,24.828,27.149,25.526,21.825,0.865,0.865,0,0,67.705,67.705,0,0
English,Male,AM_02,P13_E,High,FLEECE,924.669,1173.35,248.681,69.555,92.977,65.02,50.539,0.35,7.649,-1.089,-5.543,1.562,4.201,1.054,-0.57,-1.212,3.447,-2.143,-4.973,7.65,4.901,8.775,9.294,10.363,12.508,9.245,9.281,15.462,16.819,12.749,16.7,15.067,18.542,10.194,16.327,24.186,24.041,25.645,22.921,0.896,0.896,0,0,77,77,0,0
English,Male,AM_02,P16_E,High,GOOSE,770.882,872.267,101.385,60.375,57.882,57.395,65.631,3.092,1.785,2.51,4.268,3.982,5.198,5.531,1.958,-0.89,-3.413,-3.021,2.31,11.455,13.572,11.101,10.785,18.229,18.346,17.459,18.887,24.177,21.814,22.748,26.648,23.214,20.848,22.065,25.414,24.291,23.543,24.116,25.192,0.925,0.902,0.938,0,417.915,405.058,425.1,0
English,Male,AM_02,P19_E,High,GOOSE,738.516,927.896,189.38,79.359,89.59,73.514,74.919,9.846,12.845,7.828,8.801,5.837,9.808,4.863,2.799,4.009,3.036,2.966,6.002,15.801,13.983,16.821,16.55,21.652,21.389,20.83,22.685,30.838,30.41,29.476,32.575,24.173,25.902,20.686,25.853,24.344,26.529,25.217,21.281,0.79,0.842,0.125,0.914,72.979,80.386,66.5,61
English,Male,AM_02,P21_E,High,FLEECE,749.338,940.631,191.293,66.634,87.997,63.457,48.361,0.299,3.79,0.224,-3.126,1.278,0.84,0.965,2.022,-0.979,2.949,-0.741,-5.148,7.032,4.714,9.229,7.161,10.334,10.929,11.375,8.664,15.02,15.756,14.673,14.586,14.201,16.497,13.255,12.779,24.642,24.604,24.196,25.155,0.761,0.899,0.241,0,62.741,62.772,62.624,0
English,Male,AM_02,P22_E,High,FLEECE,1188.051,1381.257,193.206,61.943,81.293,60.859,43.736,-1.842,4.241,-2.674,-7.088,0.83,3.358,-0.554,-0.285,-2.672,0.884,-2.121,-6.803,5.887,5.495,5.773,6.355,8.44,8.975,5.383,10.999,12.456,12.924,13.555,10.83,12.192,13.227,10.516,12.783,22.096,24.777,19.57,21.962,0.924,0.924,0,0,71.634,71.634,0,0
English,Male,AM_02,P23_E,High,GOOSE,1046.867,1238.16,191.293,91.164,95.629,82.122,95.57,6.023,8.116,8.287,1.761,1.458,4.211,4.542,-4.258,4.565,3.905,3.745,06.02,4.759,3.506,8.606,2.288,18.857,18.334,19.775,18.495,29.546,28.449,30.166,30.075,23.496,23.914,23.614,22.983,21.921,21.525,24.407,19.934,0.767,0.874,0.573,0,66.014,67.248,63.784,0
English,Male,AM_02,P24_E,High,GOOSE,1089.476,1332.418,242.942,72.494,82.339,61.678,73.362,9.136,11.026,6.193,10.147,7.091,8.292,7.134,5.842,2.044,2.733,-0.941,4.304,12.783,7.036,18.008,13.316,21.04,16.712,20.92,25.484,30.41,26.081,28.789,36.368,24.72,23.165,23.993,27.003,24.217,26.701,23.713,22.2,0.853,0.853,0,0,61.133,61.133,0,0
English,Male,AM_02,P25_E,High,FLEECE,1086.196,1338.703,252.507,66.373,84.26,58.6,56.294,1.385,5.85,-1.442,-0.225,0.788,3.703,0.274,-1.612,0.596,2.146,-1.717,1.386,9.707,5.897,13.097,10.115,14.959,12.709,13.672,18.482,21.97,17.664,18.715,29.493,20.607,17.999,19.186,24.654,23.306,26.153,22.648,21.142,0.871,0.871,0,0,71.815,71.815,0,0
English,Male,AM_02,P26_E,High,FLEECE,1394.462,1585.755,191.293,86.214,89.673,86.749,82.18,0.911,5.739,-1.302,-1.754,-4.012,1.548,-4.552,-9.093,4.923,4.191,3.25,7.339,3.51,4.399,3.118,2.97,13.765,16.087,11.434,13.685,21.141,18.265,19.57,25.499,20.004,19.855,13.672,26.318,19.503,22.93,19.816,15.793,0.88,0.88,0,0,75.122,75.122,0,0
English,Male,AM_02,P27_E,Low,LOT,965.52,1196.985,231.465,61.29,74.473,43.994,65.091,2.287,5.593,-1.316,2.536,2.736,3.475,2.909,1.82,-0.449,2.118,-4.225,0.716,12.057,13.838,11.187,11.125,27.971,28.159,27.453,28.279,33.972,34.778,31.639,35.473,24.734,23.679,26.056,24.5,23.597,23.681,24.35,22.829,0.82,0.82,0,0,75.6,75.6,0,0
English,Male,AM_03,P11_E,High,KIT,937.592,1095.587,157.995,58.214,67.108,56.241,51.36,15.989,17.555,15.992,14.799,15.263,17.893,16.008,12.498,0.725,-0.338,-0.016,2.301,4.367,6.872,3.942,2.938,15.628,14.913,15.702,16.059,13.819,12.13,12.258,16.751,16.127,14.781,13.285,20.147,26.246,25.319,27.383,26.055,0.904,0.906,0.9,0,338.677,344.261,328.13,0
English,Male,AM_03,P14_E,High,KIT,1024.115,1227.979,203.864,61.764,64.569,67.758,53.099,14.226,15.105,15.759,11.73,10.951,9.189,11.468,11.931,3.276,5.916,4.291,-0.2,5.681,0.983,7.078,8.311,19.715,16.268,22.582,19.536,19.999,17.879,23.336,18.111,21.591,16.293,22.834,24.848,19.411,19.475,19.588,19.182,0.589,0.589,0,0,365.375,365.375,0,0
English,Male,AM_03,P19_E,High,GOOSE,820.044,1046.843,226.799,75.785,74.564,73.156,79.484,13.022,19.854,14.054,5.227,9.014,18.364,8.134,0.535,4.008,1.489,5.919,4.692,7.464,8.777,6.337,7.274,19.214,20.993,19.633,17.041,22.625,23.243,25.203,19.479,10.531,11.442,9.004,11.033,19.492,20.926,19.706,17.852,0.892,0.892,0,0,144.629,144.629,0,0
English,Male,AM_03,P1_E,Low,TRAP,810.537,1098.865,288.328,71.756,80.813,73.781,60.758,21.59,24.383,22.071,18.328,17.817,22.215,19.361,11.901,3.773,2.168,2.711,6.427,4.714,7.337,5.3,1.526,19.685,20.084,18.975,19.979,20.736,18.386,21.908,21.937,19.71,16.573,18.908,23.615,25.68,28.506,25.939,22.587,0.895,0.895,0.906,0,210.543,211.336,191.5,0
English,Male,AM_03,P23_E,High,GOOSE,1001.866,1241.406,239.54,68.294,78.465,66.918,59.289,14.32,16.724,15.45,11.167,10.986,13.279,12.228,7.825,3.334,3.444,3.222,3.341,7.256,10.817,6.697,4.865,14.199,16.312,13.726,12.911,23.218,24.516,22.993,22.349,19.453,21.993,19.222,17.53,20.862,20.425,22.614,19.57,0.882,0.865,0.894,0.915,330.83,359.976,308.347,297.5
English,Male,AM_03,P24_E,High,GOOSE,1099.057,1336.048,236.991,69.338,65.411,71.02,71.617,11.235,14.393,13.364,5.998,7.066,10.228,5.428,5.539,4.169,4.164,7.936,0.459,6.432,4.209,4.364,10.727,16.283,17.283,18.16,13.433,27.907,28.319,30.665,24.76,17.659,17.169,21.607,14.233,19.377,21.196,18.89,18.046,0.539,0.539,0,0,103.1,103.1,0,0
English,Male,AM_03,P26_E,High,FLEECE,1173.851,1319.104,145.253,105.766,115.12,80.977,120.447,10.477,9.887,13.463,7.651,6.881,6.049,9.531,4.656,3.597,3.838,3.931,2.995,5.517,4.71,7.561,3.948,10.328,10.056,10.991,9.811,10.128,10.346,10.331,9.607,19.324,20.025,18.961,19.014,17.362,16.55,18.007,17.532,0.884,0.878,0.893,0.851,411.254,439.275,383.915,405.8
English,Male,AM_03,P27_E,Low,LOT,1220.323,1497.279,276.956,46.022,62.394,37.406,37.905,9.358,14.815,8.987,4.181,19.634,19.021,21.001,18.668,-10.275,-4.206,-12.015,-14.487,7.668,6.369,7.239,9.502,13.912,15.19,13.595,12.93,16.322,18.994,14.202,16.037,15.965,15.544,17.863,14.176,20.399,19.292,22.885,19.05,0,0,0,0,0,0,0,0
English,Male,AM_03,P2_E,High,KIT,758.421,919.953,161.532,78.817,84.383,75.375,76.695,11.944,13.696,15.397,6.883,8.249,10.843,8.075,5.809,3.695,2.854,7.322,1.074,3.986,5.31,1.169,5.388,15.636,15.471,18.856,12.717,19.1,20.028,20.696,16.608,19.406,14.765,22.315,21.234,21.066,23.075,22.657,17.526,0.899,0.896,0.901,0,149.635,158.381,140.176,0
English,Male,AM_03,P5_E,High,KIT,984.838,1198.895,214.057,81.564,85.947,80.595,78.157,14.719,18.393,20.611,5.172,13.597,17.238,17.27,6.286,1.122,1.155,3.34,-1.114,7.084,7.467,6.806,6.964,15.072,15.488,19.046,10.686,14.745,15.571,14.684,13.977,15.297,12.056,15.273,18.584,24.433,27.249,26.527,19.502,0.864,0.86,0.886,0,163.355,166.012,148.3,0
French,Female,FF_01,P13_F,High,RUE,900.897,1013.76,112.863,181.731,189.593,195.226,160.877,1.476,2.114,-0.127,2.37,-4.326,-4.562,-1.94,-6.357,5.803,6.675,1.813,8.727,3.755,4.885,4.388,02.03,13.956,17.545,12.741,11.649,17.115,16.477,16.438,18.36,18.169,19.448,18.352,16.715,15.15,15.374,15.123,14.967,0.577,0.661,0.624,0.441,77.342,53.034,72.795,106.976
French,Female,FF_01,P14_F,High,IL,956.787,1069.65,112.863,129.113,170.548,49.479,165.333,-0.671,2.474,-3.308,-1.119,-2.63,-5.096,-1.423,-1.423,1.959,7.571,-1.885,0.304,-2.183,4.223,-9.26,-1.559,12.27,16.771,7.395,12.689,13.335,22.204,9.943,8.056,12.841,16.321,7.442,14.755,17.886,14.773,20.51,18.401,0.585,0.555,0.539,0.661,59.401,56.4,61.568,60.257
French,Female,FF_01,P19_F,Low,PLAT,1026.698,1210.339,183.641,186.774,188.717,180.038,191.575,8.086,8.159,7.932,8.147,0.105,-0.065,0.543,-0.152,7.981,8.224,7.389,8.299,17.644,21.827,17.721,13.421,36.32,38.523,38.164,32.328,37.786,40.553,39.914,32.937,32.704,36.032,34.173,27.975,17.12,15.513,15.277,20.558,0.563,0.568,0.552,0.571,66.093,51.834,61.858,84.657
French,Female,FF_01,P22_F,Low,PLAT,1064.35,1202.081,137.731,174.771,158.252,185.52,180.733,3.536,4.114,2.067,4.443,-3.608,-1.768,-5.274,-3.761,7.145,5.883,7.341,8.204,16.498,14.557,16.828,18.091,28.394,28.229,27.32,29.633,31.425,32.718,30.439,31.148,29.583,29.472,32.05,27.346,18.167,17.239,18.583,18.696,0.609,0.574,0.65,0.598,39.035,51.423,27.402,40.165
French,Female,FF_01,P23_F,High,IL,1099.666,1185.748,86.082,92.569,168.907,68.652,43.729,-3.612,-1.651,-2.958,-6.153,-2.521,-4.393,-1.777,-1.416,-1.091,2.742,-1.18,-4.737,-3.694,2.39,-0.6,-12.617,4.276,8.121,4.633,0.234,15.989,20.582,15.387,12.111,5.363,5.965,6.578,3.598,18.792,14.719,19.796,21.787,0.49,0.609,0.506,0.35,97.03,92.007,97.114,102.146
French,Female,FF_01,P26_F,High,IL,989.775,1190.633,200.858,134.389,165.425,84.875,151.91,0.269,0.621,-0.833,1.039,0.553,-5.774,5.941,1.44,-0.284,6.395,-6.773,-0.401,5.004,4.738,8.302,1.911,12.118,15.454,8.733,12.152,21.023,23.615,21.252,18.265,14.148,13.799,14.512,14.231,17.616,15.037,19.184,18.664,0.462,0.459,0.402,0.525,80.042,66.724,91.791,81.61
French,Female,FF_01,P27_F,Low,PLAT,962.512,1151.893,189.381,148.843,142.887,141.388,162.1,6.678,6.606,7.347,6.112,0.028,0.717,0.328,-0.941,6.65,5.889,7.019,7.054,9.435,7.406,9.876,10.986,27.349,24.494,28.519,29.037,29.039,29.57,29.643,27.856,24.838,22.454,26.133,25.909,19.302,20.838,18.579,18.54,0.553,0.596,0.556,0.514,97.149,113.74,94.268,86.073
French,Female,FF_01,P6_F,Low,PÂTE,943.786,1102.56,158.774,144.482,154.904,134.25,144.015,3.41,2.289,5.481,2.499,-3.016,-1.755,0.099,-7.271,6.426,4.044,5.382,9.77,7.175,7.322,7.337,6.906,23.992,21.351,25.895,24.78,28.9,25.582,29.477,31.651,25.767,24.739,24.885,27.63,17.469,17.529,17.966,16.968,0.427,0.578,0.439,0.273,81.549,81.772,75.83,87.058
French,Female,FF_01,P9_F,High,IL,1057.164,1156.637,99.473,144.31,158.94,135.402,138.477,1.041,-1.748,3.188,1.735,-3.793,-3.015,-4.011,-4.314,4.834,1.267,7.2,6.049,4.22,5.067,3.66,3.917,12.046,9.437,12.063,14.551,21.852,16.863,22.813,25.802,14.291,8.312,16.603,17.917,14.696,13.791,15.845,14.502,0.551,0.535,0.572,0.546,80.012,71.973,87.585,80.479
French,Female,FF_02,P11_F,High,ROUE,1200.386,1404.25,203.864,163.731,173.439,156.084,161.468,13.424,11.021,14.218,15.07,3.382,5.772,2.11,2.249,10.042,5.248,12.108,12.821,1.836,3.972,1.079,0.424,12.835,11.691,13.04,13.783,24.366,20.697,25.741,26.74,14.051,9.295,12.922,19.922,16.393,15.282,16.191,17.71,0.689,0.707,0.675,0.686,61.344,62.963,60.856,60.474
French,Female,FF_02,P17_F,Low,PLAT,1314.342,1604.848,290.506,153.155,176.828,167.491,115.483,19.255,21.411,20.862,15.521,18.497,17.822,18.104,19.552,0.758,3.59,2.757,-4.032,5.961,5.008,2.504,10.316,17.696,19.124,18.856,15.137,22.447,23.931,24.416,19.009,16.002,15.675,17.885,14.467,26.944,27.928,28.924,24.015,0.867,0.86,0.848,0.893,62.203,71.805,56.247,58.518
French,Female,FF_02,P18_F,Low,PLAT,1153.665,1360.078,206.413,161.894,167.158,162.833,155.779,20.171,19.755,20.345,20.419,15.41,15.075,16.503,14.691,4.76,4.68,3.842,5.728,7.115,6.874,5.274,9.129,22.124,21.092,22.563,22.707,23.747,21.287,22.417,27.453,22.971,19.588,22.231,26.951,22.099,20.814,26.399,19.184,0.776,0.835,0.813,0.684,55.971,59.673,45.758,62.803
French,Female,FF_02,P19_F,Low,PLAT,1431.691,1676.328,244.637,125.786,156.331,137.232,83.499,18.623,22.627,19.789,13.416,22.778,23.677,19.947,24.744,-4.155,-1.05,-0.158,-11.328,13.068,15.593,11.197,12.405,25.587,30.702,26.965,19.033,24.073,25.645,24.215,22.288,24.084,25.912,26.49,19.833,25.006,26.778,24.714,23.588,0.741,0.691,0.786,0.746,48.069,48.699,48.601,46.912
French,Female,FF_02,P1_F,Low,PLAT,1256.555,1440.033,183.478,99.445,137.828,78.495,81.48,17.131,17.374,15,18.989,21.599,12.509,26.165,26.233,-4.468,4.864,-11.165,-7.244,7.205,3.312,10.48,7.861,15.733,18.746,12.328,16.063,16.154,17.187,12.809,18.385,14.244,18.138,8.644,15.819,24.608,20.564,26.986,26.352,0.827,0.844,0.78,0.859,43.415,45.253,38.187,46.869
French,Female,FF_02,P22_F,Low,PLAT,1656.078,1842.104,186.026,231.789,230.226,232.583,232.583,12.078,12.888,11.24,12.118,8.649,8.74,10.724,6.539,3.429,4.149,0.516,5.579,1.932,2.117,3.863,-0.202,13.86,16.084,12.365,13.122,15.362,17.034,14.025,14.992,12.641,11.43,11.606,14.906,18.766,19.207,20.481,16.636,0.809,0.711,0.849,0.862,57.631,64.273,50.96,57.982
French,Female,FF_02,P23_F,High,IL,1188.811,1377.385,188.574,172.599,188.055,176.34,153.264,15.044,14.332,15.402,15.437,15.39,16.382,15.359,14.445,-0.346,-2.05,0.044,0.992,4.263,3.685,3.291,5.812,4.522,1.357,5.53,6.734,14.149,12.585,13.557,16.301,3.593,-1.713,3.114,9.413,18.356,16.606,19.569,18.921,0.836,0.811,0.824,0.872,69.587,71.948,72.316,64.497
French,Female,FF_02,P25_F,Low,PLAT,1070.642,1325.472,254.83,133.234,178.342,132.546,88.266,17.419,20.232,17.751,14.246,19.976,16.685,19.046,24.264,-2.558,3.546,-1.296,-10.018,5.954,2.385,3.058,12.482,12.165,15.862,12.586,7.994,13.609,16.111,14.003,10.668,11.469,15.112,11.262,7.99,27.042,28.054,26.323,26.737,0.875,0.839,0.851,0.937,75.033,82.98,65.944,76.175
French,Female,FF_08,P11_F,High,ROUE,755.97,925.505,169.535,188.437,190.077,188.087,187.056,12.166,11.744,14.086,10.686,4.213,4.593,4.316,3.768,7.953,7.151,9.77,6.918,3.26,2.38,3.861,3.55,13.107,12.732,13.37,13.212,25.024,21.389,26.315,27.308,13.767,14.207,12.471,14.565,16.583,17.394,16.975,15.412,0.81,0.807,0.787,0.834,153.771,173.06,143.764,147.698
French,Female,FF_08,P14_F,High,IL,1073.129,1184.566,111.437,185.069,180.511,175.783,197.662,6.814,12.091,12.076,-3.205,5.032,7.272,12.439,-4.032,1.782,4.819,-0.363,0.827,2.236,2.344,4.192,0.328,9.166,13.485,7.223,6.788,12.379,17.552,15.028,4.893,9.247,08.02,13.021,6.918,14.984,14.374,14.527,16.054,0.817,0.76,0.919,0,179.29,170.308,195.114,0
French,Female,FF_08,P15_F,High,ROUE,987.825,1065.096,77.271,163.717,161.045,161.045,168.763,6.889,3.415,8.598,8.895,-5.558,-6.489,-4.977,-5.177,12.448,9.905,13.575,14.072,-4.53,-3.125,-5.147,-5.467,12.621,11.221,12.878,13.837,20.556,16.436,22.753,22.727,12.802,7.925,13.834,16.822,17.198,15.685,17.885,18.119,0.918,0.961,0.92,0.893,176.296,166.7,179.054,177.111
French,Female,FF_08,P16_F,Low,PLAT,853.179,1042.319,189.14,149.355,182.329,160.971,103.622,15.851,19.539,17.501,10.499,12.029,14.323,11.434,10.341,3.822,5.215,6.067,0.158,6.074,11.824,13.057,-6.588,20.871,21.215,25.923,15.483,31.078,33.738,32.152,27.273,23.977,27.294,26.532,18.125,20.177,21.016,20.093,19.505,0.804,0.882,0.715,0.818,196.739,229.256,168.371,191.713
French,Female,FF_08,P17_F,Low,PLAT,818.952,1011.553,192.601,184.145,185.934,181.871,184.635,14.024,14.84,14.433,12.832,12.856,13.61,9.685,15.183,1.168,1.23,4.748,-2.351,-12.333,-14.049,-19.358,-3.858,15.466,18.836,18.974,8.76,16.2,17.545,15.006,16.076,9.824,9.952,8.301,11.215,17.233,19.466,17.746,14.554,0.854,0.857,0.853,0.852,174.502,194.266,166.891,159.413
French,Female,FF_08,P19_F,Low,PLAT,942.114,1137.021,194.907,189.109,188.69,185.015,193.564,12.722,15.555,12.868,9.752,13.019,15.212,12.881,10.941,-0.297,0.343,-0.013,-1.189,-10.148,-10.048,-14.872,-5.635,12.315,20.222,11.406,5.37,13.328,15.778,11.176,12.955,7.695,10.381,6.872,5.786,17.99,20.949,17.524,15.501,0.846,0.854,0.835,0.909,131.397,130.997,131.372,138.3
French,Female,FF_08,P23_F,High,IL,876.878,1004.894,128.016,179.993,185.759,181.822,172.62,8.782,6.46,10.857,9.168,6.234,7.062,6.156,5.486,2.548,-0.602,4.701,3.682,3.312,3.497,2.568,3.822,7.848,4.806,10.186,8.71,18.099,15.392,19.255,19.724,6.333,-0.42,8.275,11.284,14.778,14.302,16.022,14.018,0.869,0.809,0.919,0.939,149.378,131.442,166.026,157.3
French,Female,FF_08,P25_F,Low,PLAT,854.795,1019.716,164.921,195.15,179.656,184.046,221.455,14.6,18.156,16.02,9.658,7.614,10.852,9.775,2.266,6.986,7.304,6.245,7.392,10.933,12.436,17.622,2.948,24.067,26.02,26.405,19.834,25.687,26.052,29.227,21.858,24.514,31.208,27.905,14.574,18.611,20.706,19.709,15.565,0.817,0.819,0.779,0.902,119.623,118.315,112.455,139.05
French,Female,FF_08,P6_F,Low,PÂTE,924.76,1112.747,187.987,186.162,182.299,179.891,195.942,17.985,19.012,18.489,16.486,11.217,13.803,12.794,7.119,6.768,5.209,5.695,9.367,13.358,13.421,16.488,10.192,24.602,22.284,24.314,27.137,31.793,30.321,30.467,34.546,27.648,26.414,28.35,28.163,18.176,19.542,20.139,14.899,0.86,0.856,0.832,0.899,178.513,192.989,163.149,179.63
French,Female,FF_08,P9_F,High,IL,769.796,955.477,185.681,154.552,177.084,156.561,129.419,9.955,12.603,12.958,4.291,6.922,8.081,10.101,2.549,3.034,4.522,2.857,1.742,1.694,4.232,2.863,-2.054,7.4,13.134,6.319,2.69,17.061,19.76,19.597,11.825,9.581,10.977,11.232,6.535,15.364,14.967,15.477,15.665,0.689,0.673,0.845,0.521,168.394,160.41,182.629,160.94
French,Male,FM_02,P13_F,High,RUE,903.279,1046.288,143.009,59.086,77.775,46.168,52.634,4.254,6.484,2.94,3.277,6.467,5.714,9.7,4.036,-2.213,0.77,-6.76,-0.76,4.163,5.854,5.577,0.967,10.963,14.659,8.148,9.951,15.629,18.188,14.038,14.61,13.806,15.72,12.066,13.573,18.554,17.774,19.158,18.747,0.781,0.781,0,0,166.122,166.122,0,0
French,Male,FM_02,P15_F,High,ROUE,824.615,934.178,109.563,150.502,142.778,228.911,79.616,-2.693,-0.031,-3.863,-4.217,-7.458,-5.227,-12.599,-3.588,4.765,5.196,8.736,-0.629,15.88,16.331,19.53,11.447,47.174,54.446,51.115,34.508,47.753,54.614,49.989,37.551,43.248,45.012,47.37,36.783,15.235,15.708,14.277,15.736,0.924,0.924,0,0,429.6,429.6,0,0
French,Male,FM_02,P17_F,Low,PLAT,1063.548,1261.915,198.367,129.168,113.252,95.846,182.055,-6.857,-0.092,-8.652,-10.917,-12.396,-5.523,-9.226,-21.529,5.538,5.431,0.574,10.611,7.461,9.464,8.699,4.426,27.888,29.339,29.301,25.328,21.925,26.093,23.305,16.973,16.583,18.829,16.985,14.301,15.479,15.125,15.449,15.841,0,0,0,0,0,0,0,0
French,Male,FM_02,P18_F,Low,PLAT,1027.5,1167.049,139.549,38.643,44.504,38.401,33.068,2.479,3.774,3.126,0.29,6.249,10.047,6.448,2.861,-3.77,-6.274,-3.322,-2.571,-2.651,0.67,-1.842,-6.794,20.18,20.776,20.599,19.005,19.057,20.099,19.738,17.008,15.548,16.909,16.192,13.312,19.376,17.748,18.076,22.27,0,0,0,0,0,0,0,0
French,Male,FM_02,P22_F,Low,PLAT,990.133,1102.003,111.87,163.535,104.438,147.807,244.859,1.739,9.116,6.155,-7.479,-2.221,8.39,4.058,-15.442,3.96,0.726,2.097,7.963,4.822,7.397,8.038,-0.061,34.901,47.017,43.709,18.043,34.113,47.177,40.416,19.228,29.618,42.722,39.233,11.303,17.072,18.025,17.746,15.45,0.885,0.885,0,0,448.5,448.5,0,0
French,Male,FM_02,P23_F,High,IL,823.401,927.198,103.797,74.041,76.173,77.134,68.672,1.85,2.814,3.501,-0.427,3.822,3.046,6.369,1.82,-1.972,-0.232,-2.868,-2.246,4.889,2.189,5.876,5.717,4.681,2.981,5.194,5.277,12.716,12.616,13.196,12.287,2.994,0.869,3.595,3.791,18.238,16.075,18.503,20.26,0.848,0.769,0.923,0.914,382.52,398.588,367.591,358.7
French,Male,FM_02,P26_F,High,IL,786.193,931.508,145.315,143.124,143.188,148.925,139.823,-5.364,-2.879,-7.455,-5.472,-7.569,-0.004,-13.156,-8.65,2.205,-2.875,5.7,3.178,3.343,5.989,0.744,3.602,11.956,10.093,11.812,13.588,15.128,15.879,14.396,15.215,10.682,13.085,5.793,13.323,15.365,17.354,14.876,13.824,0.901,0.901,0,0,302.1,302.1,0,0
French,Male,FM_02,P27_F,Low,PLAT,1088.071,1271.446,183.375,61.769,67.938,57.801,59.482,5.362,7.325,5.186,4.095,9.263,10.027,8.852,9.104,-3.9,-2.703,-3.666,-5.009,10.274,10.406,9.622,10.793,23.988,25.865,23.272,23.306,21.814,21.807,21.586,22.057,16.049,16.193,16.696,15.314,22.597,23.588,23.581,20.736,0,0,0,0,0,0,0,0
French,Male,FM_05,P10_F,High,RUE,888.971,996.228,107.257,88.709,85.438,89.303,91.444,14.427,17.137,15.047,11.135,12.255,17.084,12.761,6.941,2.171,0.053,2.286,4.194,6.788,9.651,7.978,2.773,18.185,18.289,19.461,16.859,28.57,26.129,29.128,30.48,29.041,37.336,24.611,24.855,17.07,17.977,16.297,16.904,0.652,0.829,0.163,0,225.567,230.328,212.385,0
French,Male,FM_05,P11_F,High,ROUE,769.106,879.822,110.716,92.797,87.434,93.212,97.656,9.169,10.615,11.283,5.682,7.427,8.365,10.696,3.366,1.742,2.25,0.587,2.316,2.92,0.941,5.197,2.672,12.338,13.213,12.855,10.993,26.846,27.225,27.249,26.1,19.856,23.176,22.662,13.875,16.523,16.685,17.42,15.513,0.835,0.835,0,0,155.9,155.9,0,0
French,Male,FM_05,P14_F,High,IL,892.199,964.857,72.658,75.212,71.055,74.003,80.429,7.238,4.057,8.683,9.054,09.03,5.514,10.649,10.969,-1.792,-1.457,-1.966,-1.915,7.704,5.192,11.546,6.397,9.961,8.711,11.126,10.154,27.664,26.429,28.771,27.839,11.291,6.053,13.294,14.621,17.42,19.107,16.843,16.313,0.894,0,0.894,0,212.5,0,212.5,0
French,Male,FM_05,P16_F,Low,PLAT,718.304,835.941,117.637,86.3,90.099,84.147,84.485,15.845,16.766,15.685,15.064,16.687,17.79,17.504,14.785,-0.842,-1.024,-1.818,0.279,11.303,12.553,8.751,12.451,25.366,24.398,24.612,27.072,28.831,30.237,27.995,28.192,28.548,30.535,29.113,25.964,18.021,17.571,18.588,18.008,0.805,0.796,0.818,0,184.892,189.108,178.569,0
French,Male,FM_05,P17_F,Low,PLAT,770.336,936.411,166.075,83.039,91.484,84.119,73.298,14.13,17.489,15.119,9.755,16.08,17.572,15.313,15.3,-1.949,-0.083,-0.194,-5.545,13.021,10.254,11.481,17.285,21.58,22.265,25.109,17.403,24.172,25.863,22.393,24.214,24.551,29.097,23.208,21.25,20.012,19.809,20.314,19.952,0.826,0.826,0.821,0,259.615,260.635,245.6,0
French,Male,FM_05,P19_F,Low,PLAT,1029.828,1133.625,103.797,56.454,75.887,50.575,43.432,11.645,16.863,10.469,8.56,16.061,16.816,16.955,14.163,-4.416,0.048,-6.485,-5.603,8.454,11.857,8.895,4.69,28.127,38.236,27.718,19.408,29.215,36.617,28.32,23.72,31.332,41.476,31.71,21.555,18.139,17.616,17.412,19.354,0,0,0,0,0,0,0,0
